n_components,r2,rmsecv,rpd,bias
1,0.702645577574146,4.652310324653762,1.8338570347141057,-0.016333475237715004
2,0.8110811705870635,3.708250789805432,2.30075297023476,-0.02195855965065321
3,0.8185109500218198,3.6346005551264784,2.348108803399592,-0.09339603879262187
4,0.8532328231512022,3.268480852696454,2.6121827756495346,-0.1250388490542515
5,0.8794089174356369,2.9627095124395644,2.8820263493429956,-0.11983422541332543
6,0.923126440165892,2.3654837626952325,3.608006916198818,-0.06336202451672328
7,0.9511453019808696,1.8857522801743194,4.525467001880772,-0.04368586378221218
8,0.9561950245293095,1.7856370795778616,4.77791374987224,0.000622739474350697
9,0.9558129819889478,1.7934068403321646,4.757715409716746,0.026046338874101797
10,0.9546079605433199,1.8176962988456193,4.693789373551922,0.014302903804068363
11,0.9567072869788393,1.7751656117628487,4.806878303837804,0.031989592906808716
12,0.9532870800767217,1.8439535738653456,4.628829628163768,0.05448987090601825
13,0.9522888866851829,1.8635508612314158,4.581270519174552,0.06874658212521143
14,0.9509524319815081,1.8894709275233252,4.517988577603474,0.06458621442358314
